РЕЕСТР;РЕЕСТР Период внесения изменений;Внесены изменения в Положение об ИОГВ;Основание/ Дата внесения изменений в Положение (дата согласования КРИОГВ изменений в положение);Основание для исключения (Реквизиты НПА, регламентирующие исключение полномочия);№ пункта в соответствии с ПП Правительства РФ от 30.05.2014 № 496;полномочие осуществляется с использованием ИС;№ пункта в положении об ИОГВ;Статус; Услугу/функцию предоставляет Администрация района/ОМСУ/ФОИВ/ВФ/ГУ;Наименование ИОГВ СПб;Наименование полномочия в соответствии с Положением об ИОГВ;Наименование услуги (функции);порядковый номер услуги/функции;Наименование процедуры в сфере жилищного строительства (распоряжение Правительства РФ);Тип;субъект предоставления услуг (физ/юр);№ пункта Плана-графика 2013;План-график 2013 (срок исполнения);План-график 2013 (требуется внесение изменений);Продление срока по Плану 2013;Основание для продления срока по Плану 2013;Исключение из Плана 2013;Основание для исключения из Плана 2013;План 2013 исполнен;№ пункта Плана-графика 2014;Срок исполнения План-графика 2014;Основание для включения услуги в План-график 2014;Основание для исключения из Плана 2014;"План 2014
исполнение";№ пункта Плана-графика 2015;Срок исполнения План-графика 2015;Основание для включения услуги в План-график 2015;Основание для исключения из Плана 2015;"План 2015
исполнение";Мониторинг в 2014 году;Проведен мониторинг в 2013 году;услуга включена в дорожную карту ИОГВ;Результаты мониторинга 2013 года;"%
удовлетворенности заявителей по услуге";Срок исполнения мероприятий по ДК;Отметка о выполнении;№ пункта Плана-графика 2012;План-график 2012 (месяц);План-график 2012 Внесение изменений в АР;Продление срока;Исключение из Плана 2012;Основание для исключения;ПГ 2012 исполнен;1593;1593 (ред. от 20.09.2012);Внесение изменений в 1593;Реквизиты соглашения;Дата начала предоставления услуги в МФЦ;Реализация в МАИС МФЦ;8-рп;Внесение изменений в 8-рп;Внесение изменений в 11-рп;"Реализация в АИС ""ЭСРН"" (Систематика)";Реализация по ГК в 2014 году;Реализация по ГК в 2014 году ;11-рп от 13.03.2014;этап предоставления на Портале;Внесение изменений в 8-рп в редакции 11-рп от 13.03.2014;Возможность выдачи результата в электронном виде;ГК 2014 - Развитие МАИС (разрабатываются по 4 и 5 этапам перевода в электронный вид - динамическая реализация услуг) - 20 услуг;ГК 2014 - Развитие МАИС (подлежат модернизации по 4 и 5 этапам перевода в электронный вид - динамическая реализация услуг) - 27 услуг;"ГК 2014 - Развитие МАИС (разрабатываются по 4 и 5 этапам перевода в электронный вид - статическая реализация услуг) - 3 услуги (в ГК - 4, нет ""8 тонн"")";ГК 2014 - Развитие МАИС (перечень платежей, которые разрабатываются на Портале и в мобильных приложениях на безе Android и iOS);ГК 2014 - Развитие МАИС (электронные ГУ, разрабатываются в ЭДО МФЦ) - 15 услуг;ГК 2014 - Развитие МАИС (электронные услуги КСП, модернизируются по результатам интеграции МАИС ЭГУ с АИС ЭСРН) - 96 услуг;ГК 2014 - Развитие МАИС (реализуются в ЭДО МФЦ, предоставляются юридическим лицам) - 55 услуг;ГК 2014 - Развитие МАИС ЭГУ (административные процедуры 2-й очереди, разрабатываемые в 2014 году в ЭДО МФЦ) - 20 услуг; УЭК                 ;Реализация на портале (Ростелеком);Актуализация по ЕПГУ;1993-р;729-р;реализация в электронном виде;51-рп;Внесение изменений в 51-рп;"ТКМВ
(реквизиты  протокола РГ МИВ)";ТКМВ внесение изменений (реквизиты  протокола РГ МИВ);КАР;Административный регламент утвержден распоряжением ИОГВ;Реквизиты нормативных правовых актов изменений в АР;Возмездная / Безвозмездная государственная услуга;Сумма госпошлины;Количество взаимодействий ЮЛ/ФЛ и ИОГВ при предоставлении гос. услуги;Наименование взаимодействий ЮЛ/ФЛ и ИОГВ при предоставлении гос. услуги;"Наименование услуги необходимой и обязательной, 
содержащейся в
постановлении
Правительства Санкт-Петербурга
от 03.02.2012 N 93";Наименование учреждения (организации), предоставляющей услугу необходимую и обязательную;Стоимость услуги н.о.;Наименование услуги (документа) необходимой для предоставления государственной услуги;Наименование учреждения (организации), предоставляющей необходимую услугу;Стоимость услуги необходимой для получения гос. услуги;Результат предоставления услуги/исполнения функции;Время ожидания в очереди;Требуется внесение изменений в АР;Дата поступления  на согласование;Результат согласования ;Дата согласования ;ФИО эксперта;Дата повторного поступления  на согласование;Результат повторного согласования ;Дата повторного согласования ;ФИО эксперта;Предварительная экспертиза ЮК (реквизиты письма);Результат предварительной экспертизы в ЮК;Проект направлен в ЮК для вынесения на КАР (реквизиты письма);Отсутствует НПА на федеральном уровне;Требуется внесение изменений в НПА на федеральном уровне;Отсутствует НПА СПб;Требуется внесение изменений в НПА СПб;№ п/п в соответствии с Перечнями №1 и №2 МЭР;Наименование в соответствии с Перечнями №1 и №2 МЭР;Комментарии Юридического Комитета;Наименование функции (услуги)  в соответствии с федеральным законодательством;Реквизиты НПА федерального уровня, которым функция (полномочие) закреплено (отнесено к ведению) за субъектом РФ;Наименование функции в соответствии с законодательством Санкт-Петербурга ;Реквизиты НПА регионального уровня, которым функция (полномочие) закреплено (порядок предоставления услуги);Реквизиты НПА, закрепляющего перечень документов представления услуги;Реквизиты НПА, которыми полномочие передано для осуществления ИОГВ субъекта РФ с федерального уровня;133-ФЗ;"Количество обращений за предоставление услуги
 (за 2011 год)";"Количество обращений за предоставлением услуги
(за 2013 год)";Количество обращений за предоставление услуги;Количество обращений за предоставление услуги;"Количество обращений за предоставление услуги
 (на 1.11.2012)";Формирование отчета по полномочиям;Примечание;Идентификатор услуги
р;;;;;;;3.1. ;Общая;;Архивный комитет;Взаимодействует в установленном порядке по вопросам своей компетенции с органами государственной власти, органами местного самоуправления, иными государственными и негосударственными организациями, а также должностными лицами.;Осуществлять взаимодействие  по вопросам, находящимся в  компетенции исполнительного  органа государственной власти Санкт-Петербурга, с органами государственной власти и органами местного самоуправления, организациями, общественными объединениями, а также должностными лицами;1;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.04.2012;согласовано;28.04.2012;Демовская;25.05.2012;согласовано;26.05.2012;Тарасов;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.2.;Общая;;Архивный комитет;Обеспечивает в пределах компетенции Комитета выполнение федеральных целевых программ, в реализации которых участвует Санкт-Петербург, а также целевых программ Санкт-Петербурга, инвестиционных и других программ и проектов по вопросам архивного дела.;Обеспечивает в пределах компетенции Комитета выполнение федеральных целевых программ, в реализации которых участвует Санкт-Петербург, а также целевых программ Санкт-Петербурга, инвестиционных и других программ и проектов по вопросам архивного дела.;2;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.3. ;Общая;;Архивный комитет;В установленном порядке вносит предложения о создании, реорганизации, ликвидации государственных унитарных предприятий в пределах компетенции Комитета.;В установленном порядке вносит предложения о создании, реорганизации, ликвидации государственных унитарных предприятий в пределах компетенции Комитета.;3;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Внесены изменения                     Проект постановления одобрен КАР № 35 от 04.05.2011;
р;;;;;;;3.4. ;Общая;;Архивный комитет;Координирует деятельность подведомственных Комитету государственных учреждений и государственных унитарных предприятий.;Координирует деятельность подведомственных Комитету государственных учреждений и государственных унитарных предприятий.;4;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.5. ;Общая;;Архивный комитет;Осуществляет в случаях и порядке, которые установлены действующим законодательством, финансирование, материально-техническое обеспечение подведомственных государственных унитарных предприятий, государственных учреждений, а также контроль за их финансово-хозяйственной деятельностью;Осуществляет в случаях и порядке, которые установлены действующим законодательством, финансирование, материально-техническое обеспечение подведомственных государственных унитарных предприятий, государственных учреждений, а также контроль за их финансово-хозяйственной деятельностью;5;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.6. ;Общая;;Архивный комитет;Разрабатывает и согласовывает проекты уставов и изменений в уставы государственных унитарных предприятий и государственных учреждений, подведомственных Комитету, а также осуществляет полномочия собственника в отношении имущества государственных унитарных предприятий предоставленные Комитету в соответствии с его компетенцией.;Разрабатывает и согласовывает проекты уставов и изменений в уставы государственных унитарных предприятий и государственных учреждений, подведомственных Комитету, а также осуществляет полномочия собственника в отношении имущества государственных унитарных предприятий предоставленные Комитету в соответствии с его компетенцией.;6;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Внесены изменения                     Проект постановления одобрен КАР № 35 от 04.05.2011;
р;;;"п. 3.6-1 введен Постановлением Правительства СПб от 01.06.2011 N 711
";;;;3.6-1.;Общая;;Архивный комитет;"Осуществляет от имени Санкт-Петербурга следующие функции и полномочия учредителя находящихся в ведении Комитета государственных казенных учреждений Санкт-Петербурга (далее - казенные учреждения): готовит предложения (представления) о создании казенных учреждений путем учреждения и изменения типа существующих государственных учреждений Санкт-Петербурга, о реорганизации и ликвидации бюджетных учреждений; согласовывает уставы и изменения в уставы казенных учреждений; формирует предложения по закреплению имущества за казенными учреждениями на праве оперативного управления и изъятию имущества, закрепленного за казенными учреждениями на праве оперативного управления; согласовывает передаточные акты или разделительные балансы при реорганизации казенных учреждений, ликвидационные балансы при ликвидации казенных учреждений; назначает руководителей казенных учреждений и прекращает из полномочия; заключает и расторгает трудовые договора с руководителями казенных учреждений; формирует и утверждает государственное задание на оказание государственных услуг (выполнение работ) (далее - государственное задание) казенными учреждениями; осуществляет финансовое обеспечение деятельности казенных учреждений, в том числе; определяет порядок составления и утверждения отчета о результатах деятельности казенных учреждений и об использовании закрепленного за казенным учреждением на праве оперативного управления имущества, утверждает указанный отчет; Осуществляет контроль за деятельностью казенных учреждений в порядке, установленном Правительством Санкт-Петербурга.";"Осуществляет от имени Санкт-Петербурга следующие функции и полномочия учредителя находящихся в ведении Комитета государственных казенных учреждений Санкт-Петербурга (далее - казенные учреждения): готовит предложения (представления) о создании казенных учреждений путем учреждения и изменения типа существующих государственных учреждений Санкт-Петербурга, о реорганизации и ликвидации бюджетных учреждений; согласовывает уставы и изменения в уставы казенных учреждений; формирует предложения по закреплению имущества за казенными учреждениями на праве оперативного управления и изъятию имущества, закрепленного за казенными учреждениями на праве оперативного управления; согласовывает передаточные акты или разделительные балансы при реорганизации казенных учреждений, ликвидационные балансы при ликвидации казенных учреждений; назначает руководителей казенных учреждений и прекращает из полномочия; заключает и расторгает трудовые договора с руководителями казенных учреждений; формирует и утверждает государственное задание на оказание государственных услуг (выполнение работ) (далее - государственное задание) казенными учреждениями; осуществляет финансовое обеспечение деятельности казенных учреждений, в том числе; определяет порядок составления и утверждения отчета о результатах деятельности казенных учреждений и об использовании закрепленного за казенным учреждением на праве оперативного управления имущества, утверждает указанный отчет; Осуществляет контроль за деятельностью казенных учреждений в порядке, установленном Правительством Санкт-Петербурга.";7;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.7.;Общая;;Архивный комитет;Осуществляет подготовку проектов правовых актов по вопросам, отнесенным к компетенции Комитета.;Осуществляет подготовку проектов правовых актов по вопросам, отнесенным к компетенции Комитета.;8;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.8. ;Общая;;Архивный комитет;Разрабатывает методические материалы и рекомендации по вопросам компетенции Комитета.;Разрабатывает методические материалы и рекомендации по вопросам компетенции Комитета.;9;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.9. ;Общая;;Архивный комитет;В установленном порядке участвует в разработке проектов соглашений (договоров) Санкт-Петербурга с другими субъектами Российской Федерации, федеральными органами исполнительной власти по вопросам, относящимся к компетенции Комитета, обеспечивает выполнение обязательств Санкт-Петербурга по указанным соглашениям (договорам) в пределах своей компетенции.;В установленном порядке участвует в разработке проектов соглашений (договоров) Санкт-Петербурга с другими субъектами Российской Федерации, федеральными органами исполнительной власти по вопросам, относящимся к компетенции Комитета, обеспечивает выполнение обязательств Санкт-Петербурга по указанным соглашениям (договорам) в пределах своей компетенции.;10;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
